epoch,step,train_loss
4,4,0.044767607003450394
9,9,0.021328866481781006
14,14,0.01673169806599617
19,19,0.01445485558360815
24,24,0.01264177355915308
29,29,0.01123296469449997
34,34,0.009965979494154453
39,39,0.008886811323463917
44,44,0.00812238547950983
49,49,0.007353454362601042
54,54,0.006747492589056492
59,59,0.006131161004304886
64,64,0.005681399721652269
69,69,0.005221626255661249
74,74,0.0048263478092849255
79,79,0.004462238866835833
84,84,0.004160473123192787
89,89,0.0038432779256254435
94,94,0.0036048677284270525
99,99,0.0033687783870846033
