timestamp,open,high,low,close,volume
2023-01-01 00:00:00,20015.11,20030.17,20000.05,20015.11,2798.7264
2023-01-01 00:05:00,20015.11,20026.86,19995.45,20011.16,3540.968
2023-01-01 00:10:00,20011.16,20054.67,20006.95,20030.81,4149.137
2023-01-01 00:15:00,20030.81,20095.48,20058.16,20076.82,9232.3101
2023-01-01 00:20:00,20076.82,20087.46,20052.49,20069.97,2446.0668
2023-01-01 00:25:00,20069.97,20092.58,20033.68,20063.13,3966.1494
2023-01-01 00:30:00,20063.13,20140.6,20081.22,20110.91,8706.3306
2023-01-01 00:35:00,20110.91,20169.24,20099.31,20134.27,4105.4618
2023-01-01 00:40:00,20134.27,20142.97,20097.64,20120.3,6478.5331
2023-01-01 00:45:00,20120.3,20149.16,20124.61,20136.88,4520.0339
2023-01-01 00:50:00,20136.88,20141.42,20104.77,20123.09,5733.4341
2023-01-01 00:55:00,20123.09,20148.86,20069.63,20109.24,4285.1742
2023-01-01 01:00:00,20109.24,20144.79,20088.69,20116.74,7333.7282
2023-01-01 01:05:00,20116.74,20090.68,20027.91,20059.29,1944.9006
2023-01-01 01:10:00,20059.29,20017.88,19997.43,20007.66,3952.1412
2023-01-01 01:15:00,20007.66,20016.52,19965.46,19990.99,5871.9591
2023-01-01 01:20:00,19990.99,19971.95,19949.74,19960.84,6769.7345
2023-01-01 01:25:00,19960.84,19997.49,19943.42,19970.45,12037.3738
2023-01-01 01:30:00,19970.45,19980.99,19905.95,19943.47,3886.9699
2023-01-01 01:35:00,19943.47,19940.32,19862.6,19901.46,11940.4737
2023-01-01 01:40:00,19901.46,19971.61,19919.32,19945.46,3309.6102
2023-01-01 01:45:00,19945.46,19962.58,19915.24,19938.91,10907.303
2023-01-01 01:50:00,19938.91,19979.37,19902.89,19941.13,8026.3108
2023-01-01 01:55:00,19941.13,19928.81,19868.7,19898.76,2841.0383
2023-01-01 02:00:00,19898.76,19894.59,19870.84,19882.71,5908.9507
2023-01-01 02:05:00,19882.71,19910.06,19862.39,19886.22,4765.9802
2023-01-01 02:10:00,19886.22,19869.2,19835.04,19852.12,7153.4551
2023-01-01 02:15:00,19852.12,19887.44,19839.58,19863.51,4298.5672
2023-01-01 02:20:00,19863.51,19869.3,19822.33,19845.82,4087.3506
2023-01-01 02:25:00,19845.82,19864.57,19810.09,19837.33,11175.2495
2023-01-01 02:30:00,19837.33,19840.15,19799.12,19819.63,4632.1086
2023-01-01 02:35:00,19819.63,19889.81,19860.14,19874.98,8069.5532
2023-01-01 02:40:00,19874.98,19899.73,19849.82,19874.77,4293.2062
2023-01-01 02:45:00,19874.77,19878.1,19808.83,19843.46,13359.6995
2023-01-01 02:50:00,19843.46,19897.88,19838.44,19868.16,3271.4848
2023-01-01 02:55:00,19868.16,19851.99,19812.03,19832.01,3399.9428
2023-01-01 03:00:00,19832.01,19876.18,19800.66,19838.42,12267.5189
2023-01-01 03:05:00,19838.42,19817.35,19743.43,19780.39,3763.2272
2023-01-01 03:10:00,19780.39,19757.29,19725.15,19741.22,12844.1609
2023-01-01 03:15:00,19741.22,19758.29,19736.21,19747.25,8392.5891
2023-01-01 03:20:00,19747.25,19801.2,19737.46,19769.33,4479.2468
2023-01-01 03:25:00,19769.33,19809.05,19740.17,19774.61,1655.7741
2023-01-01 03:30:00,19774.61,19809.97,19732.79,19771.38,4858.1307
2023-01-01 03:35:00,19771.38,19798.91,19726.39,19762.65,5223.7877
2023-01-01 03:40:00,19762.65,19746.69,19691.44,19719.06,9900.402
2023-01-01 03:45:00,19719.06,19723.49,19672.47,19697.98,12747.2177
2023-01-01 03:50:00,19697.98,19695.24,19673.91,19684.57,3258.4526
2023-01-01 03:55:00,19684.57,19733.16,19698.85,19716.01,7948.2659
2023-01-01 04:00:00,19716.01,19749.83,19702.91,19726.37,7779.4529
2023-01-01 04:05:00,19726.37,19702.85,19646.08,19674.47,9358.5685
2023-01-01 04:10:00,19674.47,19710.53,19657.94,19684.23,6629.0312
2023-01-01 04:15:00,19684.23,19704.81,19641.31,19673.06,1532.2636
2023-01-01 04:20:00,19673.06,19671.37,19635.22,19653.29,4477.1705
2023-01-01 04:25:00,19653.29,19698.04,19645.02,19671.53,2456.7029
2023-01-01 04:30:00,19671.53,19714.63,19689.72,19702.17,4352.1991
2023-01-01 04:35:00,19702.17,19752.02,19707.8,19729.91,8848.4939
2023-01-01 04:40:00,19729.91,19737.31,19673.26,19705.29,5902.2594
2023-01-01 04:45:00,19705.29,19726.68,19666.01,19696.35,9787.4332
2023-01-01 04:50:00,19696.35,19745.47,19667.2,19706.33,6033.3178
2023-01-01 04:55:00,19706.33,19753.48,19717.29,19735.39,2255.2237
2023-01-01 05:00:00,19735.39,19746.0,19696.81,19721.4,1083.0017
2023-01-01 05:05:00,19721.4,19735.71,19696.51,19716.11,5373.7714
2023-01-01 05:10:00,19716.11,19706.47,19660.76,19683.62,4322.7373
2023-01-01 05:15:00,19683.62,19683.61,19613.44,19648.53,2734.8519
2023-01-01 05:20:00,19648.53,19702.71,19642.66,19672.68,1771.5739
2023-01-01 05:25:00,19672.68,19748.89,19676.99,19712.94,3162.6137
2023-01-01 05:30:00,19712.94,19726.88,19695.14,19711.01,4373.4398
2023-01-01 05:35:00,19711.01,19776.63,19705.17,19740.9,7328.5041
2023-01-01 05:40:00,19740.9,19763.46,19740.16,19751.81,5503.7153
2023-01-01 05:45:00,19751.81,19769.07,19696.74,19732.9,12898.1652
2023-01-01 05:50:00,19732.9,19763.42,19724.18,19743.8,2640.2729
2023-01-01 05:55:00,19743.8,19808.84,19770.37,19789.6,8338.4726
2023-01-01 06:00:00,19789.6,19813.83,19763.64,19788.74,5056.2443
2023-01-01 06:05:00,19788.74,19873.34,19797.53,19835.43,7456.2022
2023-01-01 06:10:00,19835.43,19769.13,19746.54,19757.84,3782.3133
2023-01-01 06:15:00,19757.84,19802.75,19762.07,19782.41,9348.8463
2023-01-01 06:20:00,19782.41,19820.5,19749.88,19785.19,5867.2121
2023-01-01 06:25:00,19785.19,19798.15,19754.88,19776.52,3269.306
2023-01-01 06:30:00,19776.52,19795.23,19763.64,19779.44,4879.4392
2023-01-01 06:35:00,19779.44,19743.18,19698.33,19720.75,4256.7723
2023-01-01 06:40:00,19720.75,19735.71,19693.19,19714.45,6591.3075
2023-01-01 06:45:00,19714.45,19762.16,19688.26,19725.21,2421.4794
