epoch,step,train_loss
4,4,0.5846018195152283
9,9,0.4205901026725769
14,14,0.2350996434688568
19,19,0.1092618927359581
24,24,0.05727226659655571
29,29,0.034703053534030914
34,34,0.02370709367096424
39,39,0.017003001645207405
44,44,0.01277107559144497
49,49,0.010240793228149414
54,54,0.008457808755338192
59,59,0.0072832852602005005
64,64,0.00642174668610096
69,69,0.00579850422218442
74,74,0.0052586388774216175
79,79,0.004860280081629753
84,84,0.004511517472565174
89,89,0.004203926306217909
94,94,0.003934354521334171
99,99,0.003710030112415552
