epoch,step,train_loss
4,4,0.053450170904397964
9,9,0.028318576514720917
14,14,0.023081788793206215
19,19,0.01935218833386898
24,24,0.01620924472808838
29,29,0.01382105890661478
34,34,0.011980259791016579
39,39,0.010491082444787025
44,44,0.009388514794409275
49,49,0.008323279209434986
54,54,0.0075181107968091965
59,59,0.006823615171015263
64,64,0.006123858503997326
69,69,0.005578359588980675
74,74,0.005082692485302687
79,79,0.0046967496164143085
84,84,0.004346855916082859
89,89,0.00397037249058485
94,94,0.003708052681759
99,99,0.003420325228944421
