epoch,step,train_loss
4,4,0.6050419211387634
9,9,0.4310189187526703
14,14,0.27418509125709534
19,19,0.14820270240306854
24,24,0.08175650238990784
29,29,0.05083608999848366
34,34,0.033727407455444336
39,39,0.023555871099233627
44,44,0.01735326461493969
49,49,0.013255126774311066
54,54,0.010479084216058254
59,59,0.0085543692111969
64,64,0.007183053530752659
69,69,0.006186073645949364
74,74,0.00544213131070137
79,79,0.004883444868028164
84,84,0.004437347874045372
89,89,0.004042668268084526
94,94,0.0037313587963581085
99,99,0.0034502344205975533
