epoch,step,train_loss
4,4,0.7086929678916931
9,9,0.5547335743904114
14,14,0.38451090455055237
19,19,0.22183607518672943
24,24,0.11723408848047256
29,29,0.06817471235990524
34,34,0.04299307242035866
39,39,0.028371162712574005
44,44,0.02000090852379799
49,49,0.01495971716940403
54,54,0.011637801304459572
59,59,0.009486095048487186
64,64,0.008006192743778229
69,69,0.0069665159098804
74,74,0.0061590103432536125
79,79,0.00555774150416255
84,84,0.005101019982248545
89,89,0.00469631515443325
94,94,0.00432887626811862
99,99,0.004043069202452898
