epoch,step,train_loss
4,4,0.07109613716602325
9,9,0.027422595769166946
14,14,0.020381629467010498
19,19,0.016968049108982086
24,24,0.015013378113508224
29,29,0.01350406277924776
34,34,0.012086674571037292
39,39,0.010827207937836647
44,44,0.009841473773121834
49,49,0.008946660906076431
54,54,0.00820255372673273
59,59,0.007578758057206869
64,64,0.006968401372432709
69,69,0.006503339856863022
74,74,0.005963594652712345
79,79,0.005505045875906944
84,84,0.005106973461806774
89,89,0.00479569286108017
94,94,0.004497036337852478
99,99,0.004206137731671333
